Timestamp,GPS_Latitude,GPS_Longitude,Lightning Distance,Lightning Intensity
50601.1,30.656,-96.2921,63,0
50635.1,30.656,-96.2921,63,0
50660.3,30.656,-96.2921,63,0
50935.6,30.656,-96.2921,63,0
51110.5,30.656,-96.2921,63,0
51111.3,30.656,-96.2921,63,517033
51360.3,30.656,-96.2921,63,0
51523.6,30.656,-96.2921,63,0
51879.4,30.656,-96.2921,63,0
51879.6,30.656,-96.2921,63,0
51880.3,30.656,-96.2921,63,516103
52587.8,30.656,-96.2921,63,0
