Timestamp,GPS_Latitude,GPS_Longitude,Lightning Distance,Lightning Intensity
57.243,30.64,-96.3,9,89991
62.868,30.64,-96.3,10,115419
64.306,30.64,-96.3,7,226835
65.567,30.64,-96.3,6,331229
67.794,30.64,-96.3,4,154847
68.519,30.64,-96.3,25,66472
69.889,30.64,-96.3,23,272372
71.152,30.64,-96.3,32,565315
72.596,30.64,-96.3,10,17857
73.797,30.64,-96.3,13,104245
75.112,30.64,-96.3,9,166593
79.223,30.64,-96.3,1,151208
81.358,30.64,-96.3,35,287585
81.831,30.64,-96.3,2,0
82.98,30.64,-96.3,7,518747
84.446,30.64,-96.3,10,290962
86.329,30.64,-96.3,6,162334
92.433,30.64,-96.3,12,39078
93.952,30.64,-96.3,8,102761
95.337,30.64,-96.3,5,211919
96.612,30.64,-96.3,6,172499
99.496,30.64,-96.3,25,0
