Timestamp,GPS_Latitude,GPS_Longitude,Lightning Distance,Lightning Intensity
1577870361,30.5742,-96.297,63,0
1577871558,30.5742,-96.297,63,0
1577871831,30.5742,-96.297,63,0
1577871978,30.5742,-96.297,63,0
1577872718,30.5742,-96.297,63,0
1577872767,30.5742,-96.297,63,0
1577872872,30.5742,-96.297,63,0
1577872873,30.5742,-96.297,63,0
1577872999,30.5742,-96.297,63,0
1577872999,30.5742,-96.297,63,0
1577873032,30.5742,-96.297,63,516264
1577873033,30.5742,-96.297,63,0
1577873092,30.5742,-96.297,63,0
1577873337,30.5742,-96.297,63,0
1577873356,30.5742,-96.297,63,0
1577873380,30.5742,-96.297,63,0
1577873381,30.5742,-96.297,63,0
1577873381,30.5742,-96.297,63,516526
1577873472,30.5742,-96.297,63,0
1577873507,30.5742,-96.297,63,0
1577873568,30.5742,-96.297,63,0
1577873584,30.5742,-96.297,63,0
1577873585,30.5742,-96.297,63,0
1577873598,30.5742,-96.297,63,0
1577873607,30.5742,-96.297,63,0
1577873849,30.5742,-96.297,63,0
1577873905,30.5742,-96.297,63,516441
1577873968,30.5742,-96.297,63,0
1577874027,30.5742,-96.297,63,0
1577874057,30.5742,-96.297,63,0
1577874091,30.5742,-96.297,63,0
1577874185,30.5742,-96.297,63,0
1577874227,30.5742,-96.297,63,516222
1577874258,30.5742,-96.297,63,0
1577874259,30.5742,-96.297,63,516161
1577874308,30.5742,-96.297,63,0
1577874323,30.5742,-96.297,63,516177
1577874344,30.5742,-96.297,63,0
1577874352,30.5742,-96.297,63,0
1577874352,30.5742,-96.297,63,0
1577874352,30.5742,-96.297,63,0
1577874354,30.5742,-96.297,63,0
1577874392,30.5742,-96.297,63,0
1577874450,30.5742,-96.297,63,0
1577874451,30.5742,-96.297,63,0
1577874476,30.5742,-96.297,63,0
1577874485,30.5742,-96.297,63,516139
1577874519,30.5742,-96.297,63,0
1577874532,30.5742,-96.297,63,0
1577874572,30.5742,-96.297,63,0
1577874583,30.5742,-96.297,63,0
1577874583,30.5742,-96.297,63,516251
1577874693,30.5742,-96.297,63,0
1577874695,30.5742,-96.297,63,0
1577874696,30.5742,-96.297,63,516266
1577874696,30.5742,-96.297,63,0
1577874696,30.5742,-96.297,63,516321
1577874751,30.5742,-96.297,63,0
1577874751,30.5742,-96.297,63,0
1577874752,30.5742,-96.297,63,0
1577874758,30.5742,-96.297,63,0
1577874758,30.5742,-96.297,63,0
1577874758,30.5742,-96.297,63,516179
1577874778,30.5742,-96.297,63,0
1577874791,30.5742,-96.297,63,0
1577874818,30.5742,-96.297,63,0
1577874819,30.5742,-96.297,63,0
1577874828,30.5742,-96.297,63,0
1577874835,30.5742,-96.297,63,0
1577874872,30.5742,-96.297,63,0
1577874883,30.5742,-96.297,63,0
1577874883,30.5742,-96.297,63,0
1577874916,30.5742,-96.297,63,516452
1577874916,30.5742,-96.297,63,0
1577874920,30.5742,-96.297,63,0
1577874927,30.5742,-96.297,63,0
1577874929,30.5742,-96.297,63,0
1577874945,30.5742,-96.297,63,0
1577874946,30.5742,-96.297,63,0
1577874958,30.5742,-96.297,63,0
1577874995,30.5742,-96.297,63,516206
1577874995,30.5742,-96.297,63,0
1577875000,30.5742,-96.297,63,0
1577875000,30.5742,-96.297,63,0
1577875027,30.5742,-96.297,63,0
1577875086,30.5742,-96.297,63,516111
1577875086,30.5742,-96.297,63,0
1577875087,30.5742,-96.297,63,0
1577875105,30.5742,-96.297,63,0
1577875105,30.5742,-96.297,63,0
1577875125,30.5742,-96.297,63,0
1577875136,30.5742,-96.297,63,0
1577875136,30.5742,-96.297,63,516488
1577875137,30.5742,-96.297,63,0
1577875137,30.5742,-96.297,63,516214
1577875137,30.5742,-96.297,63,0
1577875138,30.5742,-96.297,63,0
1577875139,30.5742,-96.297,63,0
1577875158,30.5742,-96.297,63,0
1577875173,30.5742,-96.297,63,0
1577875173,30.5742,-96.297,63,516219
1577875173,30.5742,-96.297,63,0
1577875199,30.5742,-96.297,63,516143
1577875210,30.5742,-96.297,63,0
1577875211,30.5742,-96.297,63,0
1577875211,30.5742,-96.297,63,0
1577875234,30.5742,-96.297,63,0
1577875235,30.5742,-96.297,63,0
1577875235,30.5742,-96.297,63,0
1577875235,30.5742,-96.297,63,0
1577875242,30.5742,-96.297,63,0
1577875249,30.5742,-96.297,63,0
1577875258,30.5742,-96.297,63,0
1577875276,30.5742,-96.297,63,516151
1577875283,30.5742,-96.297,63,516120
1577875285,30.5742,-96.297,63,0
1577875290,30.5742,-96.297,63,0
1577875293,30.5742,-96.297,63,0
1577875314,30.5742,-96.297,63,516131
1577875322,30.5742,-96.297,63,0
1577875327,30.5742,-96.297,63,0
1577875351,30.5742,-96.297,63,0
1577875351,30.5742,-96.297,63,0
1577875371,30.5742,-96.297,63,516218
1577875373,30.5742,-96.297,63,0
1577875377,30.5742,-96.297,63,0
